accept.mu,screed.alpha,speed,shoes
7.843333333333334,C,80,shoe
6.93,H,100,bare
7.9,H,80,bare
9.226666666666668,H,100,shoe
9.206666666666669,H,80,shoe
4.6866666666666665,I,100,bare
6.023333333333333,I,80,bare
7.616666666666666,I,100,shoe
6.913333333333333,I,80,shoe
7.433333333333334,A,100,bare
8.393333333333333,A,80,bare
9.666666666666666,A,100,shoe
9.673333333333334,A,80,shoe
6.526666666666666,C,100,bare
8.1,C,80,bare
9.116666666666667,C,100,shoe
7.876666666666667,C,80,shoe
7.386666666666667,H,100,bare
8.266666666666667,H,80,bare
9.4,H,100,shoe
9.436666666666667,H,80,shoe
4.8966666666666665,I,100,bare
6.136666666666667,I,80,bare
8.8966666666666665,I,100,shoe
9.033333333333331,I,80,shoe
9.07,A,100,bare
8.996666666666666,A,80,bare
7.333333333333333,A,100,shoe
8.583333333333334,A,80,shoe
8.6466666666666665,C,100,bare
8.07,C,80,bare
7.806666666666667,C,100,shoe
7.853333333333333,C,80,shoe
7.943333333333333,H,100,bare
8.916666666666666,H,80,bare
7.993333333333333,H,100,shoe
8.793333333333333,H,80,shoe
7.13,I,100,bare
7.013333333333334,I,80,bare
5.8133333333333335,I,100,shoe
4.996666666666667,I,80,shoe
6.373333333333333,A,100,bare
8.92,A,80,bare
9.97,A,100,shoe
8.97,A,80,shoe
9.12,C,100,bare
9.183333333333334,C,80,bare
9.23,C,100,shoe
7.083333333333333,C,80,shoe
7.71,H,100,bare
9.2,H,80,bare
9.76,H,100,shoe
9.576666666666666,H,80,shoe
1.8633333333333333,I,100,bare
3.806666666666666,I,80,bare
4.19,I,100,shoe
3.74,I,80,shoe
6.243333333333333,A,100,bare
7.87,A,80,bare
7.686666666666667,A,100,shoe
7.716666666666667,A,80,shoe
7.63,C,100,bare
7.493333333333333,C,80,bare
7.88,C,100,shoe
7.013333333333334,C,80,shoe
7.383333333333333,H,100,bare
7.576666666666666,H,80,bare
7.88,H,100,shoe
7.636666666666667,H,80,shoe
6.423333333333333,I,100,bare
7.033333333333333,I,80,bare
7.583333333333333,I,100,shoe
7.21,I,80,shoe
6.486666666666666,A,100,bare
8.333333333333334,A,80,bare
8.81,A,100,shoe
9.53,A,80,shoe
7.94,C,100,bare
7.056666666666667,C,80,bare
8.066666666666666,C,100,shoe
6.1433333333333335,C,80,shoe
5.9366666666666665,H,100,bare
6.806666666666667,H,80,bare
7.82,H,100,shoe
9.49,H,80,shoe
4.916666666666667,I,100,bare
5.653333333333333,I,80,bare
6.306666666666667,I,100,shoe
7.613333333333333,I,80,shoe
