Value,Dimension,Panel
2,boring-interesting,clt
1,boring-interesting,clt
2,boring-interesting,clt
-1,boring-interesting,clt
0,boring-interesting,clt
2,boring-interesting,clt
0,boring-interesting,clt
-2,boring-interesting,clt
0,boring-interesting,clt
-1,boring-interesting,clt
2,boring-interesting,clt
2,boring-interesting,clt
0,boring-interesting,clt
0,boring-interesting,clt
0,boring-interesting,clt
0,boring-interesting,clt
-1,boring-interesting,clt
-2,boring-interesting,clt
2,boring-interesting,clt
-2,boring-interesting,clt
0,boring-interesting,clt
0,boring-interesting,clt
-1,boring-interesting,clt
-1,boring-interesting,clt
-2,boring-interesting,clt
-2,boring-interesting,clt
0,boring-interesting,clt
0,boring-interesting,clt
-1,boring-interesting,clt
-1,boring-interesting,clt
-2,boring-interesting,clt
2,boring-interesting,clt
1,boring-interesting,clt
0,boring-interesting,clt
1,boring-interesting,clt
1,boring-interesting,clt
0,boring-interesting,clt
2,boring-interesting,clt
0,boring-interesting,clt
1,boring-interesting,clt
2,boring-interesting,clt
0,boring-interesting,clt
-1,boring-interesting,clt
0,boring-interesting,clt
-2,boring-interesting,clt
-1,boring-interesting,clt
-1,boring-interesting,clt
0,boring-interesting,clt
1,boring-interesting,clt
2,boring-interesting,clt
0,boring-interesting,clt
-2,boring-interesting,clt
-2,boring-interesting,clt
0,boring-interesting,clt
0,boring-interesting,clt
-1,boring-interesting,clt
-2,boring-interesting,clt
2,boring-interesting,clt
-2,boring-interesting,clt
2,boring-interesting,logwall
2,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
0,boring-interesting,logwall
1,boring-interesting,logwall
0,boring-interesting,logwall
2,boring-interesting,logwall
0,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
2,boring-interesting,logwall
2,boring-interesting,logwall
0,boring-interesting,logwall
0,boring-interesting,logwall
0,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
2,boring-interesting,logwall
0,boring-interesting,logwall
2,boring-interesting,logwall
2,boring-interesting,logwall
-1,boring-interesting,logwall
2,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
1,boring-interesting,logwall
0,boring-interesting,logwall
2,boring-interesting,logwall
2,boring-interesting,logwall
2,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
-1,boring-interesting,logwall
2,boring-interesting,logwall
-1,boring-interesting,logwall
1,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
1,boring-interesting,logwall
0,boring-interesting,logwall
-1,boring-interesting,logwall
0,boring-interesting,logwall
2,boring-interesting,logwall
0,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
2,boring-interesting,logwall
0,boring-interesting,logwall
2,boring-interesting,logwall
0,boring-interesting,logwall
2,boring-interesting,logwall
2,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
0,boring-interesting,logwall
2,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
0,boring-interesting,logwall
1,boring-interesting,logwall
0,boring-interesting,logwall
2,boring-interesting,logwall
0,boring-interesting,logwall
-1,boring-interesting,logwall
2,boring-interesting,logwall
0,boring-interesting,logwall
0,boring-interesting,logwall
1,boring-interesting,logwall
2,boring-interesting,logwall
1,boring-interesting,logwall
-2,boring-interesting,logwall
1,boring-interesting,logwall
0,boring-interesting,logwall
